RANGE,10.151,6018,3.420
RANGE,10.165,6019,2.120
RANGE,10.179,6017,4.470
RANGE,10.295,6018,3.490
RANGE,10.309,6019,2.220
RANGE,10.323,6017,4.520
RANGE,10.439,6018,3.390
RANGE,10.453,6019,2.350
RANGE,10.467,6017,4.550
RANGE,10.583,6018,3.400
RANGE,10.597,6019,2.270
RANGE,10.611,6017,4.560
POS2D,10.612,0.214,-0.134,2.150,3.280,4.220,0.580
STATUS,BAD
RANGE,10.727,6018,3.430
RANGE,10.741,6019,2.590
RANGE,10.755,6017,4.460
RANGE,10.871,6018,3.380
RANGE,10.885,6019,1.770
RANGE,10.899,6017,4.540
RANGE,11.015,6018,3.400
RANGE,11.029,6019,1.950
RANGE,11.043,6017,4.540
RANGE,11.159,6018,3.430
RANGE,11.173,6019,2.090
RANGE,11.187,6017,4.500
RANGE,11.303,6018,3.450
RANGE,11.317,6019,2.180
RANGE,11.331,6017,4.560
RANGE,11.447,6018,3.430
RANGE,11.461,6019,1.950
RANGE,11.475,6017,4.560
RANGE,11.591,6018,3.420
RANGE,11.605,6019,1.800
RANGE,11.619,6017,4.530
RANGE,11.735,6018,3.450
RANGE,11.749,6019,2.210
RANGE,11.763,6017,4.550
POS2D,11.764,0.079,-0.308,1.890,3.230,4.240,0.381
STATUS,FAIR
RANGE,12.023,6018,3.450
RANGE,12.037,6019,1.810
RANGE,12.051,6017,4.570
RANGE,12.167,6018,3.410
RANGE,12.181,6019,1.820
RANGE,12.195,6017,4.540
RANGE,12.311,6018,3.420
RANGE,12.325,6019,1.810
RANGE,12.339,6017,4.450
RANGE,12.455,6018,3.370
RANGE,12.469,6019,1.860
RANGE,12.483,6017,4.510
RANGE,12.599,6018,3.400
RANGE,12.613,6019,1.780
RANGE,12.627,6017,4.490
RANGE,12.743,6018,3.490
RANGE,12.757,6019,1.800
RANGE,12.771,6017,4.500
RANGE,12.887,6018,3.440
RANGE,12.901,6019,1.800
RANGE,12.915,6017,4.560
RANGE,13.031,6018,3.420
RANGE,13.045,6019,1.880
RANGE,13.059,6017,4.490
POS2D,13.060,-0.090,-0.412,1.610,3.220,4.210,0.176
STATUS,OK
RANGE,13.175,6018,3.410
RANGE,13.189,6019,2.030
RANGE,13.203,6017,4.540
RANGE,13.319,6018,3.420
RANGE,13.333,6019,1.750
RANGE,13.347,6017,4.520
RANGE,13.463,6018,3.340
RANGE,13.477,6019,1.790
RANGE,13.491,6017,4.510
RANGE,13.607,6018,3.440
RANGE,13.621,6019,1.790
RANGE,13.635,6017,4.470
RANGE,13.751,6018,3.380
RANGE,13.765,6019,1.880
RANGE,13.779,6017,4.540
RANGE,13.895,6018,3.410
RANGE,13.909,6019,2.450
RANGE,13.923,6017,4.480
RANGE,14.039,6018,3.420
RANGE,14.053,6019,1.850
RANGE,14.067,6017,4.490
RANGE,14.183,6018,3.440
RANGE,14.197,6019,1.750
RANGE,14.211,6017,4.460
POS2D,14.212,-0.066,-0.393,1.650,3.220,4.210,0.206
STATUS,OK
RANGE,14.327,6018,3.420
RANGE,14.341,6019,1.730
RANGE,14.355,6017,4.530
RANGE,14.471,6018,3.470
RANGE,14.485,6019,1.900
RANGE,14.499,6017,4.450
RANGE,14.615,6018,3.420
RANGE,14.629,6019,1.770
RANGE,14.643,6017,4.530
RANGE,14.759,6018,3.400
RANGE,14.773,6019,1.850
RANGE,14.787,6017,4.500
RANGE,15.047,6018,3.480
RANGE,15.061,6019,1.830
RANGE,15.075,6017,4.520
RANGE,15.191,6018,3.440
RANGE,15.205,6019,1.860
RANGE,15.219,6017,4.490
RANGE,15.335,6018,3.480
RANGE,15.349,6019,1.900
RANGE,15.363,6017,4.490
RANGE,15.479,6018,3.380
RANGE,15.493,6019,1.880
RANGE,15.507,6017,4.510
POS2D,15.508,-0.084,-0.388,1.660,3.240,4.210,0.212
STATUS,OK
RANGE,15.623,6018,3.380
RANGE,15.637,6019,1.980
RANGE,15.651,6017,4.480
RANGE,15.767,6018,3.400
RANGE,15.781,6019,2.370
RANGE,15.795,6017,4.500
RANGE,15.911,6018,3.460
RANGE,15.925,6019,2.510
RANGE,15.939,6017,4.450
RANGE,16.055,6018,3.500
RANGE,16.069,6019,2.220
RANGE,16.083,6017,4.480
RANGE,16.199,6018,3.380
RANGE,16.213,6019,2.140
RANGE,16.227,6017,4.570
RANGE,16.343,6018,3.400
RANGE,16.357,6019,1.870
RANGE,16.371,6017,4.500
RANGE,16.487,6018,3.420
RANGE,16.501,6019,1.990
RANGE,16.515,6017,4.460
RANGE,16.631,6018,3.410
RANGE,16.645,6019,1.990
RANGE,16.659,6017,4.460
POS2D,16.660,0.139,-0.208,1.940,3.210,4.180,0.427
STATUS,FAIR
RANGE,16.775,6018,3.390
RANGE,16.789,6019,1.990
RANGE,16.803,6017,4.480
RANGE,16.919,6018,3.470
RANGE,16.933,6019,1.820
RANGE,16.947,6017,4.440
RANGE,17.063,6018,3.470
RANGE,17.077,6019,1.780
RANGE,17.091,6017,4.500
RANGE,17.207,6018,3.420
RANGE,17.221,6019,2.010
RANGE,17.235,6017,4.480
RANGE,17.351,6018,3.400
RANGE,17.365,6019,1.750
RANGE,17.379,6017,4.490
RANGE,17.495,6018,3.420
RANGE,17.509,6019,2.190
RANGE,17.523,6017,4.560
RANGE,17.639,6018,3.400
RANGE,17.653,6019,1.790
RANGE,17.667,6017,4.460
RANGE,17.783,6018,3.410
RANGE,17.797,6019,1.790
RANGE,17.811,6017,4.480
POS2D,17.812,-0.084,-0.371,1.620,3.220,4.180,0.190
STATUS,OK
RANGE,18.071,6018,3.470
RANGE,18.085,6019,1.760
RANGE,18.099,6017,4.500
RANGE,18.215,6018,3.430
RANGE,18.229,6019,2.050
RANGE,18.243,6017,4.510
RANGE,18.359,6018,3.380
RANGE,18.373,6019,1.840
RANGE,18.387,6017,4.520
RANGE,18.503,6018,3.390
RANGE,18.517,6019,1.840
RANGE,18.531,6017,4.490
RANGE,18.647,6018,3.400
RANGE,18.661,6019,1.820
RANGE,18.675,6017,4.490
RANGE,18.791,6018,3.390
RANGE,18.805,6019,1.800
RANGE,18.819,6017,4.520
RANGE,18.935,6018,3.470
RANGE,18.949,6019,1.820
RANGE,18.963,6017,4.540
RANGE,19.079,6018,3.400
RANGE,19.093,6019,1.840
RANGE,19.107,6017,4.520
POS2D,19.108,-0.048,-0.410,1.640,3.200,4.220,0.197
STATUS,OK
RANGE,19.223,6018,3.440
RANGE,19.237,6019,1.800
RANGE,19.251,6017,4.500
RANGE,19.367,6018,3.420
RANGE,19.381,6019,1.780
RANGE,19.395,6017,4.510
RANGE,19.511,6018,3.410
RANGE,19.525,6019,1.800
RANGE,19.539,6017,4.480
RANGE,19.655,6018,3.420
RANGE,19.669,6019,1.750
RANGE,19.683,6017,4.460
RANGE,19.799,6018,3.450
RANGE,19.813,6019,1.730
RANGE,19.827,6017,4.530
RANGE,19.943,6018,3.440
RANGE,19.957,6019,1.720
RANGE,19.971,6017,4.550
RANGE,20.087,6018,3.470
RANGE,20.101,6019,1.940
RANGE,20.115,6017,4.510
RANGE,20.231,6018,3.380
RANGE,20.245,6019,1.990
RANGE,20.259,6017,4.540
POS2D,20.260,-0.120,-0.416,1.600,3.240,4.210,0.167
STATUS,OK
RANGE,20.375,6018,3.410
RANGE,20.389,6019,1.790
RANGE,20.403,6017,4.510
RANGE,20.519,6018,3.390
RANGE,20.533,6019,1.910
RANGE,20.547,6017,4.570
RANGE,20.663,6018,3.420
RANGE,20.677,6019,1.910
RANGE,20.691,6017,4.570
RANGE,20.807,6018,3.420
RANGE,20.821,6019,1.970
RANGE,20.835,6017,4.550
RANGE,21.095,6018,3.420
RANGE,21.109,6019,2.500
RANGE,21.123,6017,4.520
RANGE,21.239,6018,3.420
RANGE,21.253,6019,2.450
RANGE,21.267,6017,4.580
RANGE,21.383,6018,3.420
RANGE,21.397,6019,2.140
RANGE,21.411,6017,4.550
RANGE,21.527,6018,3.420
RANGE,21.541,6019,2.110
RANGE,21.555,6017,4.530
POS2D,21.556,0.105,-0.309,1.910,3.220,4.250,0.394
STATUS,FAIR
RANGE,21.671,6018,3.420
RANGE,21.685,6019,1.830
RANGE,21.699,6017,4.530
RANGE,21.815,6018,3.420
RANGE,21.829,6019,1.850
RANGE,21.843,6017,4.570
RANGE,21.959,6018,3.450
RANGE,21.973,6019,1.790
RANGE,21.987,6017,4.510
RANGE,22.103,6018,3.460
RANGE,22.117,6019,1.820
RANGE,22.131,6017,4.460
RANGE,22.247,6018,3.400
RANGE,22.261,6019,1.800
RANGE,22.275,6017,4.500
RANGE,22.391,6018,3.440
RANGE,22.405,6019,1.880
RANGE,22.419,6017,4.560
RANGE,22.535,6018,3.490
RANGE,22.549,6019,1.860
RANGE,22.563,6017,4.560
RANGE,22.679,6018,3.450
RANGE,22.693,6019,1.860
RANGE,22.707,6017,4.570
POS2D,22.708,-0.102,-0.454,1.650,3.250,4.260,0.192
STATUS,OK
RANGE,22.823,6018,3.420
RANGE,22.837,6019,1.810
RANGE,22.851,6017,4.560
RANGE,22.967,6018,3.420
RANGE,22.981,6019,1.830
RANGE,22.995,6017,4.600
RANGE,23.111,6018,3.440
RANGE,23.125,6019,1.840
RANGE,23.139,6017,4.510
RANGE,23.255,6018,3.470
RANGE,23.269,6019,1.850
RANGE,23.283,6017,4.580
RANGE,23.399,6018,3.420
RANGE,23.413,6019,1.830
RANGE,23.427,6017,4.570
RANGE,23.543,6018,3.450
RANGE,23.557,6019,1.830
RANGE,23.571,6017,4.560
RANGE,23.687,6018,3.420
RANGE,23.701,6019,1.800
RANGE,23.715,6017,4.570
RANGE,23.831,6018,3.420
RANGE,23.845,6019,1.830
RANGE,23.859,6017,4.500
POS2D,23.860,-0.078,-0.475,1.630,3.220,4.270,0.177
STATUS,OK
RANGE,24.119,6018,3.500
RANGE,24.133,6019,1.800
RANGE,24.147,6017,4.490
RANGE,24.263,6018,3.440
RANGE,24.277,6019,1.820
RANGE,24.291,6017,4.550
RANGE,24.407,6018,3.420
RANGE,24.421,6019,1.820
RANGE,24.435,6017,4.570
RANGE,24.551,6018,3.390
RANGE,24.565,6019,1.820
RANGE,24.579,6017,4.490
RANGE,24.695,6018,3.450
RANGE,24.709,6019,1.830
RANGE,24.723,6017,4.510
RANGE,24.839,6018,3.430
RANGE,24.853,6019,1.840
RANGE,24.867,6017,4.500
RANGE,24.983,6018,3.480
RANGE,24.997,6019,1.820
RANGE,25.011,6017,4.530
RANGE,25.127,6018,3.390
RANGE,25.141,6019,1.830
RANGE,25.155,6017,4.460
POS2D,25.156,-0.108,-0.407,1.620,3.240,4.210,0.182
STATUS,OK
RANGE,25.271,6018,3.370
RANGE,25.285,6019,1.820
RANGE,25.299,6017,4.540
RANGE,25.415,6018,3.370
RANGE,25.429,6019,1.830
RANGE,25.443,6017,4.530
RANGE,25.559,6018,3.420
RANGE,25.573,6019,1.810
RANGE,25.587,6017,4.460
RANGE,25.703,6018,3.430
RANGE,25.717,6019,1.820
RANGE,25.731,6017,4.490
RANGE,25.847,6018,3.450
RANGE,25.861,6019,1.780
RANGE,25.875,6017,4.540
RANGE,25.991,6018,3.440
RANGE,26.005,6019,1.840
RANGE,26.019,6017,4.560
RANGE,26.135,6018,3.450
RANGE,26.163,6017,4.490
RANGE,26.279,6018,3.410
RANGE,26.307,6017,4.570
